id,source,sentence_1,sentence_2,label,binary-label
boostcamp-sts-v1-train-053,nsmc-sampled,"다만, 관객에 대한 배려가 없다.",이 정도 수준으로 영화관에 내보내는건 관객에 대한 모독이다.,1.8,0.0
boostcamp-sts-v1-train-054,petition-sampled,지금 있는 시설 관리라도 좀 잘 했으면 좋겠습니다,여성가족부 폐지하고 그 예산을 좀 더 올바르게 사용했으면 좋겠습니다.,0.0,0.0
boostcamp-sts-v1-train-055,nsmc-sampled,근데 멜로연기는 영 ㅋㅋㅋ,유령나올때 멜로디는 어릴때 충격적이였지 ㅋㅋㅋ,0.0,0.0
boostcamp-sts-v1-train-056,nsmc-sampled,제일 좋은것같던데..,난이게 제일 재밌었는데..,1.6,0.0
boostcamp-sts-v1-train-057,petition-rtt,청소년법 폐지 적극 참여합니다,청소년법 폐지 적극 동참,4.0,1.0
boostcamp-sts-v1-train-058,nsmc-rtt,중첩되는 장면들이 재밌다ㅋㅋ,겹치는 장면이 재미있다.,3.6,1.0
boostcamp-sts-v1-train-059,nsmc-sampled,이건 진짜 대박임ㅇㅇ,이건 진짜 최고임.,3.8,1.0
boostcamp-sts-v1-train-060,slack-sampled,책도 앞부분을 읽어보니 우리 회사 문화와 업무 스타일에 좋은 팁들이 들어있더라구요!!,첫날 부터 우리 회사의 좋은 문화를 가득 체험하고 갑니다 ㅎㅎ,1.0,0.0
boostcamp-sts-v1-train-061,petition-sampled,그루밍 성범죄'법이 있어야 합니다.,"!!'그루밍 범죄', 청소년 성폭력 범죄에서 절반!!",1.0,0.0
boostcamp-sts-v1-train-062,slack-rtt,네 다행히 업종이 다름!!,"네, 다행히 업종이 다릅니다!!",4.0,1.0
boostcamp-sts-v1-train-063,slack-sampled,부트캠프 프로그램 얘기부터 추천 도메인 얘기까지 순식간에 시간이 흘러가서 너무 아쉬웠습니다 ㅎㅎ,각자 업무와 부트캠프 얘기부터 앞으로 진로 얘기까지 나누다보니 한시간 훌쩍 넘게 수다를 떨었네요.,2.0,0.0
boostcamp-sts-v1-train-064,nsmc-rtt,"변호사 시절 찍은 사진, 그렉으로 전시한 사진, 범죄현장을 포착한 사진마저 폴은 자신의 이름을 내걸지 못한다.","변호사 시절 찍은 사진, 그렉과 함께 전시한 사진, 범행 현장 사진까지도 폴은 자신의 이름을 댈 수 없다.",3.8,1.0
boostcamp-sts-v1-train-065,slack-sampled,아 어제 <PERSON> 님이 사오신거!,"누가? 저랑 <PERSON>, 그리고 경주에 가까이 사시는 분이든 서울에 사시는 분이든 놀 준비 되있으신 분들.",0.4,0.0
boostcamp-sts-v1-train-066,slack-sampled,식당도 진짜 멋졌어요,정말 너무 멋집니다!!,2.8,1.0
boostcamp-sts-v1-train-067,slack-rtt,뮤직비디오 감상하는 걸 추천드립니다.,뮤직비디오 시청을 추천합니다.,4.2,1.0
boostcamp-sts-v1-train-068,petition-sampled,[주차] 무단 주차 단속 법규 마련 요청,긴급상황 출동시 개인 재산(주차 차량) 침해 허용,0.4,0.0
boostcamp-sts-v1-train-069,petition-sampled,어린이집 지원금을 부모한테주세요..,어린이집 이용시간을 현실성 있게 조정해 주세요...,0.8,0.0
boostcamp-sts-v1-train-070,slack-sampled,<PERSON> 님과 어제 저녁에 식사를 하였습니다!,<PERSON> 님과 어제 한시간동안 이야기 나눴습니다!!,0.8,0.0
boostcamp-sts-v1-train-071,slack-sampled,저는 무한리필 도전 중인 대파!,저도 데스커 사용 중입니다!,0.0,0.0
boostcamp-sts-v1-train-072,slack-sampled,구글 meet에 맞는 사이즈로 리사이즈했습니다,스우파 리정 vs 시미즈에서 리정 배틀곡이기도합니다,0.0,0.0
boostcamp-sts-v1-train-073,nsmc-sampled,감성을 자극하진 못한다.,감성을 자극했던 좋은영화,1.6,0.0
boostcamp-sts-v1-train-074,slack-sampled,고화질 영상으로 수정합니다! ㅎ,하체지만 고관절 신청합니다…!,0.0,0.0
boostcamp-sts-v1-train-075,petition-sampled,문재인님불만하지마세요,문재인님제발욕설하지마세요,1.6,0.0
boostcamp-sts-v1-train-076,nsmc-sampled,후반들어 법적공방과 반전은 이영화의 묘미.,투혼과 함께 반담의 최고영화. 복수의 칼날 반담~,0.0,0.0
boostcamp-sts-v1-train-077,slack-sampled,저는 뭔가 대나무처럼 크는 형태일 줄 알았는데 신기하네요,아ㅎㅎㅎ 새로 인터넷 설치해야하는 줄 알았는데 돈 굳은 느낌이네요,0.0,0.0
boostcamp-sts-v1-train-078,slack-rtt,과연 나중에 다시 작업을 통해 만나 뵙게 될 수 있을지 궁금해하며 마무리했습니다.,앞으로 일을 통해 다시 만날 수 있을까 하는 생각이 들었다.,2.4,0.0
boostcamp-sts-v1-train-079,petition-sampled,조두순 형량증가를 청원합니다,소년법개정.폐지를 청원합니다,0.0,0.0
boostcamp-sts-v1-train-080,petition-sampled,가상화페규제 반대합니다,가상화페 거래소 패지 반대,2.8,1.0
boostcamp-sts-v1-train-081,slack-sampled,옛날 유럽의 어떤 전쟁 때 일단의 군대가 마을에 진주하게 되었습니다.,각자 사는 곳의 날씨 이야기부터 시작했습니다.,0.0,0.0
boostcamp-sts-v1-train-082,petition-sampled,대동강 맥주 수입바랍니다!!!,MBN 을 강력하게 제재해주세요 !!!!!!,0.0,0.0
boostcamp-sts-v1-train-083,petition-sampled,여자 아이스하키팀 단일팀구성 반대,여자 아이스하키 단일팀 절대 반대합니다,3.2,1.0
boostcamp-sts-v1-train-084,slack-rtt,천천히 회복하면서 쉬어요,천천히 회복하면서 휴식,3.8,1.0
boostcamp-sts-v1-train-085,slack-rtt,"저도 클라이밍 너무 배우고 싶은데, 기회가 된다면 함께 하면 좋을 것 같습니다!!!",저도 클라이밍 정말 배우고 싶은데 기회가 된다면 같이 해보는 것도 좋을 것 같아요!!!,4.4,1.0
boostcamp-sts-v1-train-086,slack-sampled,물은 답을 알고 있다,물의 요정이다! ㅋㅋ,0.2,0.0
boostcamp-sts-v1-train-087,slack-sampled,저희도 얼른 워크샵준비를..!,워크샵 담날 아침 8시에 하기 쉽지 않았지만 ㅋㅋ 다음엔 하프 도전~~!!,0.8,0.0
boostcamp-sts-v1-train-088,petition-sampled,현실적인 통일방안 2,청년실업 해소방안 제안,0.2,0.0
boostcamp-sts-v1-train-089,slack-sampled,여기 왕갈비 드시고 이 광경을 구경하시면 정말 멋지죠.,왕갈비 최고였습니다. 정자에 부는 시원한 바람 또한 일품이었습니다. 최고최고~~,1.4,0.0
boostcamp-sts-v1-train-090,slack-sampled,둘 다 낯가리면서도 수다스러움을 감출 수 없는 캐릭터라는 것을 깨닫고 ㅋㅋ,재밌는 컨셉을 써도 숨길 수 없는 퀄리티ㅠㅠㅠ,1.0,0.0
boostcamp-sts-v1-train-091,petition-sampled,이민을 허용해주세요,소년법을 폐지해주세요.,0.0,0.0
boostcamp-sts-v1-train-092,nsmc-sampled,그냥 재밌으니까 ㅋ,재밌으니까 좀 봐요들 ㅋㅋ,2.8,1.0
boostcamp-sts-v1-train-093,nsmc-sampled,할머니: 감독님... 농구가 하고 싶어요,-점 없어 아쉬움~~,0.0,0.0
boostcamp-sts-v1-train-094,nsmc-sampled,보면서 주인공 아이가 참 불쌍하다고 느꼈다.,친구가 무섭다고 추천해줬다.,0.0,0.0
boostcamp-sts-v1-train-095,slack-sampled,오 대화 시스템!!! 오신 것을 환영합니당!!!,오오 기대됩니당~~,0.0,0.0
boostcamp-sts-v1-train-096,nsmc-sampled,그 외에도 스스로 자신에 대해 생각하고 돌아보게하는 영화다.,모든 영화는 아닌척하지만 다 우리 자신에 대한 위로이다.,0.6,0.0
boostcamp-sts-v1-train-097,slack-sampled,오호 ㅎㅎㅎ 신기합니다 ㅎㅎ,어머 어쩜 그런!! ㅋㅋㅋ 너무 신기합니다 ㅎㅎ,3.6,1.0
boostcamp-sts-v1-train-098,slack-sampled,오늘이 우리 회사에 입사한지 100일째 되는 날입니다!,벌써 입사한지 4개월 정도 지났네요.,2.8,1.0
boostcamp-sts-v1-train-099,slack-sampled,이말에 너무나 공감 됩니다.,매우 공감이 갑니다.,3.4,1.0
boostcamp-sts-v1-train-100,petition-sampled,히딩크감독님을 모셔와야합니다,히딩크감독을 다시 대한민국 축구 감독으로,3.2,1.0
boostcamp-sts-v1-train-101,petition-sampled,나라를위해 하시는건가요 돈벌려고 그 길로 가신건가요?,자영업자들 다 죽이실겁니까?,0.0,0.0
boostcamp-sts-v1-train-102,slack-sampled,전 건조기 없이 매일 빨래중인데 사이즈 오케,저는 큰 사이즈 모션데스크 사용중인데 만족합니다.,0.4,0.0
boostcamp-sts-v1-train-103,nsmc-rtt,걍 회사이름도 얘기하지.,회사 이름도 언급하지 마십시오.,1.0,0.0
boostcamp-sts-v1-train-104,petition-sampled,이명박씨의 출박을 막아주세요,이명박씨의 출국을 금지시켜 주세요~,4.2,1.0
boostcamp-sts-v1-train-105,nsmc-sampled,멈칫대다 갑자기 폭발해버리는 느낌.,뒤통수를 쳐맞은 느낌.,0.2,0.0
boostcamp-sts-v1-train-106,nsmc-rtt,더 해피엔딩이였으면 좋았겠지만 근로 복지의 과제를 남겨준거 같아 좋습니다.,해피엔딩이었으면 좋았을 텐데 근로복지라는 숙제를 남겨주셔서 좋았습니다.,4.2,1.0
boostcamp-sts-v1-train-107,petition-sampled,경추 요추 척추 압박골절시 시술 대기 기간 없애주세요,건강보험 보장 확대에 오타반점 제거 시술도 포함해 주세요.,0.0,0.0
boostcamp-sts-v1-train-108,petition-sampled,청화대 청원 실명 공개해주세요,청와대 국민청원 근거없이 삭제 직권남용 직원 형사처벌 바랍니다,1.2,0.0
boostcamp-sts-v1-train-109,nsmc-sampled,영화의 재미 보다 짚라인 타 보고 싶다.,가난한 영화의 넘치는 여운..그녀의 말을 마저 듣고 싶다.,0.0,0.0
boostcamp-sts-v1-train-110,nsmc-rtt,한국의 '귀신이 산다'나 '시실리ㅇkm'가 완성도 높다.,한국의 '귀신이 산다'와 '시칠리아 ㅇkm'는 완성도가 높다.,3.8,1.0
boostcamp-sts-v1-train-111,nsmc-sampled,내 감정이 매말라서 그런지 모르겠지만 개인적으로는 너무 지루하고 재미없던 영화다,너무 지루한 영화다,3.0,1.0
boostcamp-sts-v1-train-112,petition-sampled,민간어린이집과 가정어린이집에 현장에 맞추어서 법을 만들어 주십시요,민간어린이집과 가정어린이집에 운영비를 지원해 주시기 바랍니다,2.0,0.0
boostcamp-sts-v1-train-113,nsmc-rtt,"무엇보다 최대한 원작의 분위기와 환경, 스토리를 살려야했는데 셋 다 정말 다른이야기를 억지로 만들어 넣은것 같았다.","무엇보다 원작의 분위기와 환경, 스토리를 최대한 살려야 했지만, 세 사람이 모두 다른 이야기를 만들어야 하는 것 같았다.",3.8,1.0
boostcamp-sts-v1-train-114,slack-sampled,여러분 다들 맛점 하셨나요~~~,다들 맛점 하세요~,2.8,1.0
boostcamp-sts-v1-train-115,nsmc-sampled,간만에 최악의 영화를 봤다.,간만에 좋은영화 봤다.,0.6,0.0
boostcamp-sts-v1-train-116,slack-sampled,지금도 아침에 코칭 다니시고 가족들도 종종 함께 다니는 가족 운동이라고 하네요!,그리고 그림 또한 그리는걸 좋아하셔서 타블렛까지 구매하셔서 종종 그리신다고 하십니다!,0.0,0.0
boostcamp-sts-v1-train-117,petition-rtt,나경원비서 욕설건으로 나경원비서와 나경원의원 특검요청합니다,나경원 비서관과 나경원 특검 욕설 요구,2.6,1.0
boostcamp-sts-v1-train-118,slack-rtt,뭔지는 모르지만 그냥 드라마에서 저런 잔에다가 마셔요 ㅋㅋㅋ,뭔진 모르겠지만 그냥 드라마에서 저렇게 잔으로 마신다.,3.8,1.0
boostcamp-sts-v1-train-119,petition-sampled,주 52시간 근로에 대하여,주 52시간 근무제의 대한 의견입니다,3.2,1.0
boostcamp-sts-v1-train-120,petition-sampled,둘만 낳아도 다자녀 혜택,다자녀가구 부모의 공무원 우선채용,0.6,0.0
boostcamp-sts-v1-train-121,slack-sampled,아이가 게임에 빠지지 않게 하라는 방법이라고 합니다.,ㅠㅠ 인도에서 오는 비행 2주간 금지라고 합니다.,0.0,0.0
boostcamp-sts-v1-train-122,slack-sampled,건강한 취미에 이어 건강한 음식도 즐긴다고 해요.,다양한 공간에서 삶의 방식을 경험하는 것을 즐긴다고 합니다.,0.4,0.0
boostcamp-sts-v1-train-123,petition-sampled,집값 안정화에 대한 청원,집값 안정화를 위한 제안,3.2,1.0
boostcamp-sts-v1-train-124,petition-sampled,황제노역 없애주세요,황제노역 폐지를 원합니다.,3.4,1.0
boostcamp-sts-v1-train-125,petition-sampled,욱일기~ 전범기 관련 사용금지 법안을 당장만드시요,풍등 제작 및 날리기 행위를 법으로 금지해야합니다.,0.0,0.0
boostcamp-sts-v1-train-126,slack-rtt,ㅋㅋ글 보다가 뻘하게 웃고 갑니다..,이 글을 읽으면서 헛웃음이 나오네요..,3.2,1.0
boostcamp-sts-v1-train-127,petition-sampled,청원모아주세요 중국발 미세먼지,중국발 미세먼지 대책마련 해주시죠,2.2,0.0
boostcamp-sts-v1-train-128,nsmc-sampled,남주 음식 흡입장면은 혐오감으로 편집바람.,여배우 노출은 심하던데.재미없어서 졸려서 본 영화.,0.0,0.0
boostcamp-sts-v1-train-129,petition-sampled,이동식과속단속카메라 대신 과속단속cctv를 설치해 주세요.,5m 이동시 핸드폰 액정 자동꺼짐 설치 의무화 해주세요.,0.0,0.0
boostcamp-sts-v1-train-130,slack-rtt,저희가 지향하는 바가 비슷했었는데,우리는 같은 것을 목표로하고 있었다,2.0,0.0
boostcamp-sts-v1-train-131,slack-rtt,(저도 잘 맞아드릴 수 있음),(잘 어울릴 수 있어요),0.0,0.0
boostcamp-sts-v1-train-132,nsmc-sampled,이런류의 영화가 지루하기 쉽지 않은데 희한하게 지루하네..,.상어 나오는 영화가 이렇게 지루할 수 있다는데 박수를보낸다. .,2.0,0.0
boostcamp-sts-v1-train-133,slack-rtt,저도 부트캠프 2기 수강생 중에 고등학교 선배가 있어서 깜짝 놀랐던 경험이 있어서 공유드렸는데요.,부트캠프 2반 학생들 중에 고등학생이 있어서 놀랐던 경험도 나눴다.,3.0,1.0
boostcamp-sts-v1-train-134,petition-sampled,폭염 대책 좀 세워주세요,지진 안나게 방지책좀 세워주세요,0.6,0.0
boostcamp-sts-v1-train-135,petition-sampled,조두순 출소 반대서명,조두순 출소 반대청원,4.0,1.0
boostcamp-sts-v1-train-136,nsmc-rtt,"이 작품의 주제는, 전쟁의 미화가 아니라 세계를 적으로 돌리며 전쟁을 하면 안된다는 일본 정부에 대한 일침과 한 청년의 비행기 설계에 대한 꿈이라고 생각합니다.",이 작품의 주제는 전쟁의 미화가 아니라 세계를 적으로 돌리면서 전쟁을 해서는 안 된다는 일본 정부에 대한 암시와 비행기를 디자인하는 청년의 꿈이라고 생각합니다.,3.6,1.0
boostcamp-sts-v1-train-137,slack-rtt,"평화로 어딘가일 경우, 한수위",평화로운 곳이라면 최고,2.5,1.0
boostcamp-sts-v1-train-138,nsmc-sampled,기대보단 기대보단...우연의 과도함,영화보단드라마부작이짱....,0.0,0.0
boostcamp-sts-v1-train-139,nsmc-sampled,"달리고 또 달리고,,",공포감도 별루고.. 암튼 비추..,0.0,0.0
boostcamp-sts-v1-train-140,nsmc-sampled,이 영화 또한 그러하다.,이 감독의 영화는 다 비추천이다.,0.8,0.0
boostcamp-sts-v1-train-141,petition-rtt,송파구청장 헬리오시티 비리연루 공익제보,송파구청장 헬리오시티 비리 공익신고,4.2,1.0
boostcamp-sts-v1-train-142,petition-sampled,국민연금 주식대여 전면금지 해 주세요,국민연금 주식대여 금지해주세요 개미들 죽어요,3.4,1.0
boostcamp-sts-v1-train-143,slack-sampled,오늘 오후7시에 캠퍼들에게 공유될 예정인데요.,내일 오전 10시 경에도 위와 같은 메세지가 달릴 예정인데요!!,0.4,0.0
boostcamp-sts-v1-train-144,slack-sampled,금요일에 모인다는 첩보가..,금요일에 더 많은 얘기 나눠요~!!,1.4,0.0
boostcamp-sts-v1-train-145,petition-rtt,[제발]이명박 개별청원하지 마시고 추천수로 정렬하셔서 3만명대 나오는 청원에 참여하셔야 참여자올라갑니다.,"[제발] 이명박을 개별적으로 청원하지 말고 추천인수순으로 정렬하여 청원에 30,000명과 함께 참여하여 참여인원을 늘립니다.",4.5,1.0
boostcamp-sts-v1-train-146,slack-rtt,배터리 우려때문에 그러는지.,배터리 문제 때문인가요?,2.8,1.0
boostcamp-sts-v1-train-147,nsmc-sampled,"영원한 시간... 그리고, 영원한 사랑..",진짜 재미없어요...............................................,0.0,0.0
boostcamp-sts-v1-train-148,slack-rtt,어린이날에 산 선인장이 왔어요,어린이날 구입한 선인장이 왔어요,4.6,1.0
boostcamp-sts-v1-train-149,petition-sampled,김영란법 폐지해주세요,김영란 법 폐지해주세요! 제발,4.0,1.0
boostcamp-sts-v1-train-150,petition-sampled,MB 출국금지 신청,이명박 출국금지요청,3.6,1.0
boostcamp-sts-v1-train-151,petition-sampled,아파트 누수요금 감면을 청원합니다.,보육교사대 아동비율수 조정 청원합니다.,0.2,0.0
boostcamp-sts-v1-train-152,petition-sampled,성범죄 공소시효 폐지를 청원 합니다.,청소년 보호법 및 소년법 등 폐지를 청원합니다.,0.2,0.0
boostcamp-sts-v1-train-153,nsmc-rtt,결론은 완전 노잼.,결론은 완전히 넌센스다.,1.8,0.0
boostcamp-sts-v1-train-154,nsmc-sampled,킬링타임의 아주 ..,킬링타임용에도 못미치는 수준..,1.2,0.0
boostcamp-sts-v1-train-155,petition-sampled,엄청난 후폭풍을 몰고 올 개정.,많은 국민들이 엄청난 피해를 보고 있습니다.,0.0,0.0
boostcamp-sts-v1-train-156,slack-rtt,시력과 라식에 대한 이야기로 시작해서.. 업무 이야기로 마무리되었습니다 ㅋㅋ,시력과 라식에 대한 이야기로 시작해서 일 이야기로 끝이 났습니다.,4.0,1.0
boostcamp-sts-v1-train-157,petition-sampled,수시전형 고려부탁요,수시전형 꼭 필요합니다,2.6,1.0
boostcamp-sts-v1-train-158,slack-rtt,처음 뵌 분들과 빠르게 친해질 수 있을 것 같은 느낌!,처음 만나는 사람들과 금방 친해질 수 있는 것 같아요!,3.4,1.0
boostcamp-sts-v1-train-159,nsmc-sampled,킬링타임용 딱 그정도인듯,킬링타임용에 딱이라는 평점보고 봤는데 정말 킬링타임용엔 딱이다,3.0,1.0
